"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1943,5,0,0,12.1,1.41493566395445,58.2,104.9,-44.9444,0.2,1,0.6,0.0075991298779753,4.57314716685226,0.702379497225775,32.3196443655888,3.0041,40.6068701595448,6.37055029604869
1943,6,0,0,14.29,1.77568459278644,51,119.7,-44.9444,0.2,1,0.6,0.00636277938250642,4.54885053813843,0.69880114235671,32.3135745472609,3.0041,40.5716890071386,6.40573144845493
1943,7,0,0,16.35,2.1385202168339,23.7,134.8,-44.9444,0.2,1,0.6,0.00513773987657102,4.51976052576754,0.694502546347077,32.306207705448,3.0041,40.5297085174392,6.44771193815434
1943,8,0,0,16.45,2.15661996949818,46.6,116,-44.9444,0.2,1,0.6,0.00414105784405551,4.49061270119174,0.690178807305858,32.2987229007248,3.0041,40.4877554670664,6.48966498852704
1943,9,1.1423,0,13.36,1.61898926172307,51.9,64.1,-41.1194,0.322453456321637,1,0.6,0.677333962496045,4.92374098644284,0.684975787372999,32.289596336145,3.0041,41.5797470724569,6.53997338313663
1943,10,0,0,10.4,1.15667339713408,68.5,31.4,0,1,0,1,0.258338296123162,4.78340085633299,0.710392863631233,32.3068076051613,3.0041,41.0630396212487,7.05668083434481
1943,11,0,0,5.41,0.537491111456246,44.7,8.5,0,1,0,1,0.165068525171131,4.71955488893088,0.710766323543507,32.3026100337418,3.0041,40.9020997713874,7.21762068420614
1943,12,0,0,2.82,0.311572279456722,50.4,3.1,0,1,0,1,0.127321721775962,4.68293563153125,0.709207504014916,32.2981866212579,3.0041,40.8217514785801,7.29796897701344
1944,1,0,0,5.65,0.561906433124297,46.6,12.2,0,1,1,0.6,0.0961360051305954,4.64363093109012,0.706537523610453,32.2922044480892,3.0041,40.7426089079204,7.37711154767309
1944,2,0,0,2.89,0.316764496413433,39.6,22.3,0,1,1,0.6,0.082054335901933,4.62161920530033,0.704659211798122,32.2883969618129,3.0041,40.7008297148133,7.41889074078017
1944,3,0,0,4.77,0.475236245951069,17.7,45,-16.05,1,1,0.6,0.0647001511580094,4.58879093876333,0.701488622327128,32.2822057426278,3.0041,40.6412854548763,7.4784350007172
